antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
"frozenset({'Building', 'review_bin_80-85', 'City Builder'})","frozenset({'Sandbox', 'Management'})",0.0012597631645250692,0.0195578231292517,0.0008503401360544217,0.675,34.51304347826087,1.0,0.000825701910897894,3.0167451596023027,0.9722502522704338,0.04258675078864353,0.6685169124024285,0.3592391304347826,"Building, City Builder, review_bin_80-85","Management, Sandbox"
"frozenset({'review_bin_80-85', 'Management', 'City Builder'})","frozenset({'Sandbox', 'Building'})",0.0012597631645250692,0.030801209372637944,0.0008503401360544217,0.675,21.91472392638037,1.0,0.0008115379070639481,2.9821501250072684,0.9555723735844824,0.0272452068617558,0.6646714759212322,0.3513036809815951,"City Builder, Management, review_bin_80-85","Building, Sandbox"
"frozenset({'review_bin_80-85', 'Sandbox', 'Management'})","frozenset({'Building', 'City Builder'})",0.0015432098765432098,0.016408415217939027,0.0008503401360544217,0.5510204081632654,33.58157389635317,1.0,0.0008250185076316763,2.1907267115600453,0.9717213349361726,0.04972375690607735,0.5435304665236464,0.3014219123349916,"Management, Sandbox, review_bin_80-85","Building, City Builder"
"frozenset({'Sandbox', 'review_bin_80-85', 'City Builder'})","frozenset({'Building', 'Management'})",0.0011337868480725624,0.022675736961451247,0.0008503401360544217,0.75,33.075,1.0,0.0008246306837171755,3.909297052154195,0.9708664396519108,0.03703703703703704,0.744199535962877,0.39375,"City Builder, Sandbox, review_bin_80-85","Building, Management"
"frozenset({'review_bin_80-85', 'City Builder'})","frozenset({'Sandbox', 'Building', 'Management'})",0.0016691861929957169,0.013259007306626354,0.0008503401360544217,0.5094339622641509,38.42172724420741,1.0,0.0008282083841253717,2.0114335620288,0.9756015203190193,0.060402684563758385,0.5028421426003421,0.28678348944561466,"City Builder, review_bin_80-85","Building, Management, Sandbox"
"frozenset({'review_bin_70-75', 'Solitaire'})",frozenset({'Family Friendly'}),0.0015747039556563366,0.08604182413706223,0.0009763164525069287,0.62,7.20579795021962,1.0,0.00084082605168641,2.405153094376152,0.8625811742822779,0.011268629589240277,0.5842260509993108,0.3156734992679356,"Solitaire, review_bin_70-75",Family Friendly
"frozenset({'Exploration', 'review_bin_75-80'})",frozenset({'Atmospheric'}),0.013573948097757622,0.20011337868480725,0.007495590828924162,0.5522041763341067,2.7594565638905504,1.0,0.004779262212989672,1.7862753045950674,0.646383785786592,0.036352527875362764,0.44017588026460963,0.2948304482551868,"Exploration, review_bin_75-80",Atmospheric
"frozenset({'Exploration', 'review_bin_75-80', 'Open World'})",frozenset({'Atmospheric'}),0.003527336860670194,0.20011337868480725,0.001984126984126984,0.5625,2.8109065155807365,1.0,0.0012782596871788103,1.8283122772918692,0.6465233881163085,0.00983913790410745,0.45304748405386247,0.286207507082153,"Exploration, Open World, review_bin_75-80",Atmospheric
"frozenset({'review_bin_75-80', 'Open World', 'Fantasy'})",frozenset({'Atmospheric'}),0.001763668430335097,0.20011337868480725,0.000944822373393802,0.5357142857142858,2.677053824362607,1.0,0.0005918887249197152,1.7228327228327232,0.6275618374558305,0.004702194357366771,0.4195605953224664,0.270217860515311,"Fantasy, Open World, review_bin_75-80",Atmospheric
"frozenset({'review_bin_75-80', 'Open World', 'Fantasy'})",frozenset({'Exploration'}),0.001763668430335097,0.12685815066767447,0.0008818342151675485,0.5,3.941410129096326,1.0,0.0006580984997042778,1.746283698664651,0.7476022211004543,0.006903353057199211,0.4273553599769153,0.25347567030784507,"Fantasy, Open World, review_bin_75-80",Exploration
"frozenset({'review_bin_75-80', 'Open World', 'Horror'})",frozenset({'Atmospheric'}),0.0014487276392038298,0.20011337868480725,0.0008503401360544217,0.5869565217391304,2.9331198423451164,1.0,0.000560430353379279,1.93656760949994,0.6600222881053007,0.004236623254354307,0.48362246941731113,0.2956029067619165,"Horror, Open World, review_bin_75-80",Atmospheric
"frozenset({'Sci-fi', 'review_bin_75-80', 'Open World'})",frozenset({'Atmospheric'}),0.00163769211388259,0.20011337868480725,0.000944822373393802,0.576923076923077,2.8829810416212687,1.0,0.0006170982712392927,1.8906411049268195,0.6542082018927444,0.004705144291091594,0.4710788856784605,0.2908222561197066,"Open World, Sci-fi, review_bin_75-80",Atmospheric
"frozenset({'Exploration', 'review_bin_75-80', 'Sci-fi'})",frozenset({'Atmospheric'}),0.002141597379692618,0.20011337868480725,0.0014487276392038298,0.6764705882352942,3.380436593901017,1.0,0.0010201653517710099,2.472376829519687,0.705691529945165,0.007214554579673778,0.5955309125776462,0.3418550611935048,"Exploration, Sci-fi, review_bin_75-80",Atmospheric
